Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,1-2h,0-1km;7.609983444;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,2-3h,0-1km;11.36178875;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,3-4h,0-1km;15.53113079;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,4-5h,0-1km;19.74151993;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,5-6h,0-1km;24.12852287;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,6-7h,0-1km;28.51553345;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,7-8h,0-1km;32.9025383;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,8-9h,0-1km;37.28954315;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,9-10h,0-1km;41.67654419;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,10-11h,0-1km;46.0635376;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,11-12h,0-1km;50.45057297;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,>12h,0-1km;52.66512299;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,0-1h,1-2km;6.510797977;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,1-2h,1-2km;16.3847084;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,2-3h,1-2km;25.55266571;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,3-4h,1-2km;35.23631668;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,4-5h,1-2km;44.97404099;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,5-6h,1-2km;54.96829605;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,6-7h,1-2km;64.96251678;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,7-8h,1-2km;74.95674896;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,8-9h,1-2km;84.95101166;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,9-10h,1-2km;94.94524384;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,10-11h,1-2km;104.939476;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,11-12h,1-2km;114.9336853;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,>12h,1-2km;119.9788132;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,0-1h,0-1km;-0.000637705;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,1-2h,0-1km;0.000173564;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,2-3h,0-1km;1.62E-05;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,3-4h,0-1km;0.000170154;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,4-5h,0-1km;0.000169131;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,5-6h,0-1km;1.23E-05;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,6-7h,0-1km;-0.000145648;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,7-8h,0-1km;-0.000304827;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,8-9h,0-1km;-0.000465213;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,9-10h,0-1km;-0.000626819;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,10-11h,0-1km;-0.000789657;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,11-12h,0-1km;-0.000953741;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,>12h,0-1km;-0.001036213;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,0-1h,1-2km;-0.007278138;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,1-2h,1-2km;-0.00780629;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,2-3h,1-2km;-0.008135737;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,3-4h,1-2km;-0.007937347;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,4-5h,1-2km;-0.007975373;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,5-6h,1-2km;-0.008250854;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,6-7h,1-2km;-0.008527861;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,7-8h,1-2km;-0.008806425;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,8-9h,1-2km;-0.009086565;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,9-10h,1-2km;-0.009368336;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,10-11h,1-2km;-0.00965176;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,11-12h,1-2km;-0.00993688;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NO2;Urban;TØ,>12h,1-2km;-0.010080025;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CH4;Urban;TØ,0-1h,0-1km;0.006774066;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CH4;Urban;TØ,1-2h,0-1km;0.01678903;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CH4;Urban;TØ,2-3h,0-1km;0.021206995;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CH4;Urban;TØ,3-4h,0-1km;0.024230624;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CH4;Urban;TØ,4-5h,0-1km;0.026402187;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CH4;Urban;TØ,5-6h,0-1km;0.027724875;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CH4;Urban;TØ,6-7h,0-1km;0.029047566;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CH4;Urban;TØ,7-8h,0-1km;0.03037025;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CH4;Urban;TØ,8-9h,0-1km;0.031692941;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CH4;Urban;TØ,9-10h,0-1km;0.033015635;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CH4;Urban;TØ,10-11h,0-1km;0.034338325;;;;;
